Grouping;Treatment;Dish;Time;G;PG
AR_6wks_0C;15;1;1;0;25
AR_6wks_0C;15;1;2;0;25
AR_6wks_0C;15;1;3;0;25
AR_6wks_0C;15;1;4;0;25
AR_6wks_0C;15;1;5;0;25
AR_6wks_0C;15;1;6;0;25
AR_6wks_0C;15;1;7;0;25
AR_6wks_0C;15;1;8;0;25
AR_6wks_0C;15;1;9;0;25
AR_6wks_0C;15;1;10;8;25
AR_6wks_0C;15;1;11;23;25
AR_6wks_0C;15;1;12;23;25
AR_6wks_0C;15;1;13;23;25
AR_6wks_0C;15;1;14;24;25
AR_6wks_0C;15;1;15;24;25
AR_6wks_0C;15;1;16;24;25
AR_6wks_0C;15;1;17;24;25
AR_6wks_0C;15;1;18;24;25
AR_6wks_0C;15;1;19;24;25
AR_6wks_0C;15;1;20;24;25
AR_6wks_0C;15;1;21;24;25
AR_6wks_0C;15;1;22;24;25
AR_6wks_0C;15;1;23;24;25
AR_6wks_0C;15;1;24;24;25
AR_6wks_0C;15;1;25;24;25
AR_6wks_0C;15;1;26;24;25
AR_6wks_0C;15;1;27;24;25
AR_6wks_0C;15;1;28;24;25
AR_6wks_0C;15;1;29;25;25
AR_6wks_0C;15;1;30;25;25
AR_6wks_0C;15;1;31;25;25
AR_6wks_0C;15;1;32;25;25
AR_6wks_0C;15;1;33;25;25
AR_6wks_0C;15;1;34;25;25
AR_6wks_0C;15;1;35;25;25
AR_6wks_0C;15;1;36;25;25
AR_6wks_0C;15;1;37;25;25
AR_6wks_0C;15;1;38;25;25
AR_6wks_0C;15;1;39;25;25
AR_6wks_0C;15;1;40;25;25
AR_6wks_0C;15;1;41;25;25
AR_6wks_0C;15;1;42;25;25
AR_6wks_0C;15;1;43;25;25
AR_6wks_0C;15;1;44;25;25
AR_6wks_0C;15;1;45;25;25
AR_6wks_0C;15;1;46;25;25
AR_6wks_0C;15;1;47;25;25
AR_6wks_0C;15;1;48;25;25
AR_6wks_0C;15;1;49;25;25
AR_6wks_0C;15;1;50;25;25
AR_6wks_0C;15;1;51;25;25
AR_6wks_0C;15;1;52;25;25
AR_6wks_0C;15;1;53;25;25
AR_6wks_0C;15;1;54;25;25
AR_6wks_0C;15;1;55;25;25
AR_6wks_0C;15;1;56;25;25
AR_6wks_0C;15;1;57;25;25
AR_6wks_0C;15;1;58;25;25
AR_6wks_0C;15;1;59;25;25
AR_6wks_0C;15;1;60;25;25
AR_6wks_0C;15;1;61;25;25
AR_6wks_0C;15;1;62;25;25
AR_6wks_0C;15;1;63;25;25
AR_6wks_0C;15;1;64;25;25
AR_6wks_0C;15;1;65;25;25
AR_6wks_0C;15;1;66;25;25
AR_6wks_0C;15;1;67;25;25
AR_6wks_0C;15;1;68;25;25
AR_6wks_0C;15;1;69;25;25
AR_6wks_0C;15;1;70;25;25
AR_6wks_0C;15;1;71;25;25
AR_6wks_0C;15;1;72;25;25
AR_6wks_0C;15;1;73;25;25
AR_6wks_0C;15;1;74;25;25
AR_6wks_0C;15;1;75;25;25
AR_6wks_0C;15;1;76;25;25
AR_6wks_0C;15;1;77;25;25
AR_6wks_0C;15;1;78;25;25
AR_6wks_0C;15;1;79;25;25
AR_6wks_0C;15;1;80;25;25
AR_6wks_0C;15;1;81;25;25
AR_6wks_0C;15;1;82;25;25
AR_6wks_0C;15;1;83;25;25
AR_6wks_0C;15;1;84;25;25
AR_6wks_0C;15;2;1;0;25
AR_6wks_0C;15;2;2;0;25
AR_6wks_0C;15;2;3;0;25
AR_6wks_0C;15;2;4;0;25
AR_6wks_0C;15;2;5;0;25
AR_6wks_0C;15;2;6;0;25
AR_6wks_0C;15;2;7;0;25
AR_6wks_0C;15;2;8;0;25
AR_6wks_0C;15;2;9;0;25
AR_6wks_0C;15;2;10;7;25
AR_6wks_0C;15;2;11;22;25
AR_6wks_0C;15;2;12;23;25
AR_6wks_0C;15;2;13;24;25
AR_6wks_0C;15;2;14;25;25
AR_6wks_0C;15;2;15;25;25
AR_6wks_0C;15;2;16;25;25
AR_6wks_0C;15;2;17;25;25
AR_6wks_0C;15;2;18;25;25
AR_6wks_0C;15;2;19;25;25
AR_6wks_0C;15;2;20;25;25
AR_6wks_0C;15;2;21;25;25
AR_6wks_0C;15;2;22;25;25
AR_6wks_0C;15;2;23;25;25
AR_6wks_0C;15;2;24;25;25
AR_6wks_0C;15;2;25;25;25
AR_6wks_0C;15;2;26;25;25
AR_6wks_0C;15;2;27;25;25
AR_6wks_0C;15;2;28;25;25
AR_6wks_0C;15;2;29;25;25
AR_6wks_0C;15;2;30;25;25
AR_6wks_0C;15;2;31;25;25
AR_6wks_0C;15;2;32;25;25
AR_6wks_0C;15;2;33;25;25
AR_6wks_0C;15;2;34;25;25
AR_6wks_0C;15;2;35;25;25
AR_6wks_0C;15;2;36;25;25
AR_6wks_0C;15;2;37;25;25
AR_6wks_0C;15;2;38;25;25
AR_6wks_0C;15;2;39;25;25
AR_6wks_0C;15;2;40;25;25
AR_6wks_0C;15;2;41;25;25
AR_6wks_0C;15;2;42;25;25
AR_6wks_0C;15;2;43;25;25
AR_6wks_0C;15;2;44;25;25
AR_6wks_0C;15;2;45;25;25
AR_6wks_0C;15;2;46;25;25
AR_6wks_0C;15;2;47;25;25
AR_6wks_0C;15;2;48;25;25
AR_6wks_0C;15;2;49;25;25
AR_6wks_0C;15;2;50;25;25
AR_6wks_0C;15;2;51;25;25
AR_6wks_0C;15;2;52;25;25
AR_6wks_0C;15;2;53;25;25
AR_6wks_0C;15;2;54;25;25
AR_6wks_0C;15;2;55;25;25
AR_6wks_0C;15;2;56;25;25
AR_6wks_0C;15;2;57;25;25
AR_6wks_0C;15;2;58;25;25
AR_6wks_0C;15;2;59;25;25
AR_6wks_0C;15;2;60;25;25
AR_6wks_0C;15;2;61;25;25
AR_6wks_0C;15;2;62;25;25
AR_6wks_0C;15;2;63;25;25
AR_6wks_0C;15;2;64;25;25
AR_6wks_0C;15;2;65;25;25
AR_6wks_0C;15;2;66;25;25
AR_6wks_0C;15;2;67;25;25
AR_6wks_0C;15;2;68;25;25
AR_6wks_0C;15;2;69;25;25
AR_6wks_0C;15;2;70;25;25
AR_6wks_0C;15;2;71;25;25
AR_6wks_0C;15;2;72;25;25
AR_6wks_0C;15;2;73;25;25
AR_6wks_0C;15;2;74;25;25
AR_6wks_0C;15;2;75;25;25
AR_6wks_0C;15;2;76;25;25
AR_6wks_0C;15;2;77;25;25
AR_6wks_0C;15;2;78;25;25
AR_6wks_0C;15;2;79;25;25
AR_6wks_0C;15;2;80;25;25
AR_6wks_0C;15;2;81;25;25
AR_6wks_0C;15;2;82;25;25
AR_6wks_0C;15;2;83;25;25
AR_6wks_0C;15;2;84;25;25
AR_6wks_0C;15;3;1;0;24
AR_6wks_0C;15;3;2;0;24
AR_6wks_0C;15;3;3;0;24
AR_6wks_0C;15;3;4;0;24
AR_6wks_0C;15;3;5;0;24
AR_6wks_0C;15;3;6;0;24
AR_6wks_0C;15;3;7;0;24
AR_6wks_0C;15;3;8;0;24
AR_6wks_0C;15;3;9;0;24
AR_6wks_0C;15;3;10;6;24
AR_6wks_0C;15;3;11;22;24
AR_6wks_0C;15;3;12;22;24
AR_6wks_0C;15;3;13;23;24
AR_6wks_0C;15;3;14;23;24
AR_6wks_0C;15;3;15;23;24
AR_6wks_0C;15;3;16;23;24
AR_6wks_0C;15;3;17;23;24
AR_6wks_0C;15;3;18;23;24
AR_6wks_0C;15;3;19;23;24
AR_6wks_0C;15;3;20;23;24
AR_6wks_0C;15;3;21;23;24
AR_6wks_0C;15;3;22;23;24
AR_6wks_0C;15;3;23;23;24
AR_6wks_0C;15;3;24;23;24
AR_6wks_0C;15;3;25;23;24
AR_6wks_0C;15;3;26;23;24
AR_6wks_0C;15;3;27;23;24
AR_6wks_0C;15;3;28;23;24
AR_6wks_0C;15;3;29;24;24
AR_6wks_0C;15;3;30;24;24
AR_6wks_0C;15;3;31;24;24
AR_6wks_0C;15;3;32;24;24
AR_6wks_0C;15;3;33;24;24
AR_6wks_0C;15;3;34;24;24
AR_6wks_0C;15;3;35;24;24
AR_6wks_0C;15;3;36;24;24
AR_6wks_0C;15;3;37;24;24
AR_6wks_0C;15;3;38;24;24
AR_6wks_0C;15;3;39;24;24
AR_6wks_0C;15;3;40;24;24
AR_6wks_0C;15;3;41;24;24
AR_6wks_0C;15;3;42;24;24
AR_6wks_0C;15;3;43;24;24
AR_6wks_0C;15;3;44;24;24
AR_6wks_0C;15;3;45;24;24
AR_6wks_0C;15;3;46;24;24
AR_6wks_0C;15;3;47;24;24
AR_6wks_0C;15;3;48;24;24
AR_6wks_0C;15;3;49;24;24
AR_6wks_0C;15;3;50;24;24
AR_6wks_0C;15;3;51;24;24
AR_6wks_0C;15;3;52;24;24
AR_6wks_0C;15;3;53;24;24
AR_6wks_0C;15;3;54;24;24
AR_6wks_0C;15;3;55;24;24
AR_6wks_0C;15;3;56;24;24
AR_6wks_0C;15;3;57;24;24
AR_6wks_0C;15;3;58;24;24
AR_6wks_0C;15;3;59;24;24
AR_6wks_0C;15;3;60;24;24
AR_6wks_0C;15;3;61;24;24
AR_6wks_0C;15;3;62;24;24
AR_6wks_0C;15;3;63;24;24
AR_6wks_0C;15;3;64;24;24
AR_6wks_0C;15;3;65;24;24
AR_6wks_0C;15;3;66;24;24
AR_6wks_0C;15;3;67;24;24
AR_6wks_0C;15;3;68;24;24
AR_6wks_0C;15;3;69;24;24
AR_6wks_0C;15;3;70;24;24
AR_6wks_0C;15;3;71;24;24
AR_6wks_0C;15;3;72;24;24
AR_6wks_0C;15;3;73;24;24
AR_6wks_0C;15;3;74;24;24
AR_6wks_0C;15;3;75;24;24
AR_6wks_0C;15;3;76;24;24
AR_6wks_0C;15;3;77;24;24
AR_6wks_0C;15;3;78;24;24
AR_6wks_0C;15;3;79;24;24
AR_6wks_0C;15;3;80;24;24
AR_6wks_0C;15;3;81;24;24
AR_6wks_0C;15;3;82;24;24
AR_6wks_0C;15;3;83;24;24
AR_6wks_0C;15;3;84;24;24
AR_6wks_0C;15;4;1;0;25
AR_6wks_0C;15;4;2;0;25
AR_6wks_0C;15;4;3;0;25
AR_6wks_0C;15;4;4;0;25
AR_6wks_0C;15;4;5;0;25
AR_6wks_0C;15;4;6;0;25
AR_6wks_0C;15;4;7;0;25
AR_6wks_0C;15;4;8;0;25
AR_6wks_0C;15;4;9;0;25
AR_6wks_0C;15;4;10;6;25
AR_6wks_0C;15;4;11;21;25
AR_6wks_0C;15;4;12;23;25
AR_6wks_0C;15;4;13;24;25
AR_6wks_0C;15;4;14;24;25
AR_6wks_0C;15;4;15;24;25
AR_6wks_0C;15;4;16;24;25
AR_6wks_0C;15;4;17;24;25
AR_6wks_0C;15;4;18;24;25
AR_6wks_0C;15;4;19;24;25
AR_6wks_0C;15;4;20;24;25
AR_6wks_0C;15;4;21;24;25
AR_6wks_0C;15;4;22;24;25
AR_6wks_0C;15;4;23;24;25
AR_6wks_0C;15;4;24;24;25
AR_6wks_0C;15;4;25;25;25
AR_6wks_0C;15;4;26;25;25
AR_6wks_0C;15;4;27;25;25
AR_6wks_0C;15;4;28;25;25
AR_6wks_0C;15;4;29;25;25
AR_6wks_0C;15;4;30;25;25
AR_6wks_0C;15;4;31;25;25
AR_6wks_0C;15;4;32;25;25
AR_6wks_0C;15;4;33;25;25
AR_6wks_0C;15;4;34;25;25
AR_6wks_0C;15;4;35;25;25
AR_6wks_0C;15;4;36;25;25
AR_6wks_0C;15;4;37;25;25
AR_6wks_0C;15;4;38;25;25
AR_6wks_0C;15;4;39;25;25
AR_6wks_0C;15;4;40;25;25
AR_6wks_0C;15;4;41;25;25
AR_6wks_0C;15;4;42;25;25
AR_6wks_0C;15;4;43;25;25
AR_6wks_0C;15;4;44;25;25
AR_6wks_0C;15;4;45;25;25
AR_6wks_0C;15;4;46;25;25
AR_6wks_0C;15;4;47;25;25
AR_6wks_0C;15;4;48;25;25
AR_6wks_0C;15;4;49;25;25
AR_6wks_0C;15;4;50;25;25
AR_6wks_0C;15;4;51;25;25
AR_6wks_0C;15;4;52;25;25
AR_6wks_0C;15;4;53;25;25
AR_6wks_0C;15;4;54;25;25
AR_6wks_0C;15;4;55;25;25
AR_6wks_0C;15;4;56;25;25
AR_6wks_0C;15;4;57;25;25
AR_6wks_0C;15;4;58;25;25
AR_6wks_0C;15;4;59;25;25
AR_6wks_0C;15;4;60;25;25
AR_6wks_0C;15;4;61;25;25
AR_6wks_0C;15;4;62;25;25
AR_6wks_0C;15;4;63;25;25
AR_6wks_0C;15;4;64;25;25
AR_6wks_0C;15;4;65;25;25
AR_6wks_0C;15;4;66;25;25
AR_6wks_0C;15;4;67;25;25
AR_6wks_0C;15;4;68;25;25
AR_6wks_0C;15;4;69;25;25
AR_6wks_0C;15;4;70;25;25
AR_6wks_0C;15;4;71;25;25
AR_6wks_0C;15;4;72;25;25
AR_6wks_0C;15;4;73;25;25
AR_6wks_0C;15;4;74;25;25
AR_6wks_0C;15;4;75;25;25
AR_6wks_0C;15;4;76;25;25
AR_6wks_0C;15;4;77;25;25
AR_6wks_0C;15;4;78;25;25
AR_6wks_0C;15;4;79;25;25
AR_6wks_0C;15;4;80;25;25
AR_6wks_0C;15;4;81;25;25
AR_6wks_0C;15;4;82;25;25
AR_6wks_0C;15;4;83;25;25
AR_6wks_0C;15;4;84;25;25
